Timestamp (ms),Humidity (%),Temperature (°C),Temperature (°F)
0,43.7,24.8,76.64
2000,45.26,24.76,76.56
4000,44.97,24.84,76.7
6000,45.96,25.68,78.22
8000,46.24,25.84,78.51
10000,42.71,25.4,77.71
12000,46.96,25.52,77.94
14000,44.17,24.83,76.7
16000,46.99,24.77,76.59
18000,44.94,24.93,76.88
20000,48.61,25.39,77.71
22000,46.18,25.77,78.38
24000,48.01,26.03,78.86
26000,43.61,25.12,77.21
28000,46.36,24.65,76.38
30000,44.6,24.35,75.84
32000,46.23,25.58,78.04
34000,46.02,25.32,77.57
36000,44.29,23.87,74.96
38000,42.1,25.49,77.88
40000,45.76,24.83,76.69
42000,45.5,25.12,77.22
44000,45.43,23.28,73.91
46000,45.24,25.14,77.26
48000,44.71,25.03,77.05
50000,44.85,24.77,76.58
52000,45.36,24.67,76.41
54000,46.71,24.69,76.44
56000,45.56,25.23,77.41
58000,44.12,24.73,76.52
60000,43.73,25.51,77.91
62000,44.98,25.37,77.67
64000,45.15,25.44,77.8
66000,45.38,25.34,77.62
68000,45.66,24.83,76.7
70000,43.48,25.34,77.61
72000,44.8,25.12,77.22
74000,44.23,24.38,75.88
76000,43.01,25.63,78.14
78000,44.65,25.41,77.73
80000,44.56,25.14,77.24
82000,43.63,25.65,78.17
84000,43.35,24.96,76.92
86000,47.1,25.01,77.02
88000,46.46,25.59,78.07
90000,45.26,24.86,76.75
92000,45.39,24.87,76.77
94000,47.51,24.98,76.97
96000,42.73,25.95,78.71
98000,44.35,24.41,75.94
100000,43.83,24.9,76.82
102000,44.69,24.44,76.0
104000,47.52,24.72,76.5
106000,43.93,25.16,77.3
108000,49.41,25.5,77.89
110000,42.28,25.56,78.01
112000,45.03,25.22,77.39
114000,46.03,24.87,76.76
116000,45.46,24.85,76.72
118000,46.42,24.67,76.41
120000,45.82,24.85,76.74
122000,44.65,24.75,76.55
124000,42.5,25.26,77.47
126000,43.72,24.81,76.66
128000,45.33,24.08,75.35
130000,44.75,25.61,78.1
132000,45.44,25.17,77.3
134000,46.6,23.93,75.08
136000,46.91,24.69,76.44
138000,44.15,25.08,77.14
140000,45.64,25.06,77.11
142000,45.21,24.79,76.62
144000,43.72,24.91,76.84
146000,45.38,25.05,77.09
148000,44.15,24.71,76.48
150000,46.74,24.74,76.54
152000,44.23,24.84,76.71
154000,43.97,25.74,78.33
156000,44.51,25.2,77.36
158000,45.93,25.28,77.5
160000,45.38,25.41,77.74
162000,43.0,25.79,78.42
164000,46.61,24.74,76.54
166000,45.35,24.46,76.04
168000,43.89,25.21,77.37
170000,44.0,25.82,78.48
172000,45.74,24.15,75.47
174000,43.72,24.98,76.96
176000,44.42,24.74,76.53
178000,45.46,25.53,77.96
180000,45.22,24.31,75.76
182000,47.46,24.99,76.98
184000,46.1,25.37,77.67
186000,46.06,25.36,77.64
188000,44.03,24.95,76.91
190000,45.97,24.91,76.84
192000,45.3,25.04,77.08
194000,45.25,25.15,77.27
196000,47.46,25.7,78.25
198000,45.17,24.8,76.64
200000,45.12,24.64,76.35
202000,41.98,25.46,77.83
204000,47.39,25.22,77.4
206000,45.35,25.27,77.49
208000,43.29,26.56,79.81
210000,45.95,23.88,74.98
212000,47.96,25.21,77.38
214000,45.42,24.5,76.1
216000,44.29,25.1,77.19
218000,44.12,24.9,76.81
220000,47.06,23.3,73.93
222000,45.9,25.0,77.0
224000,45.29,24.84,76.71
226000,44.96,24.94,76.9
228000,45.38,25.32,77.57
230000,45.83,25.45,77.81
232000,45.17,24.81,76.66
234000,44.0,25.2,77.36
236000,44.06,24.81,76.66
238000,43.86,25.58,78.05
240000,44.93,25.92,78.65
242000,45.76,25.6,78.09
244000,44.05,25.14,77.25
246000,47.11,25.29,77.52
248000,43.77,25.46,77.82
250000,45.06,24.37,75.87
252000,41.21,25.77,78.38
254000,44.55,24.61,76.29
256000,45.71,25.22,77.39
258000,46.45,25.54,77.97
260000,43.57,24.81,76.66
262000,44.78,25.81,78.46
264000,45.83,24.97,76.95
266000,44.64,24.77,76.58
268000,44.77,25.2,77.35
270000,45.34,25.31,77.56
272000,44.29,24.6,76.28
274000,47.58,24.51,76.11
276000,43.57,24.33,75.79
278000,45.25,25.4,77.71
280000,46.39,24.86,76.74
282000,46.17,24.92,76.86
284000,45.16,24.36,75.84
286000,45.15,24.27,75.69
288000,45.33,25.29,77.53
290000,48.45,24.88,76.78
292000,46.23,25.55,77.99
294000,44.12,25.21,77.38
296000,43.92,24.42,75.95
298000,44.56,25.26,77.47
300000,45.54,25.16,77.3
302000,45.55,24.46,76.03
304000,43.85,24.13,75.44
306000,46.18,24.19,75.54
308000,44.44,25.21,77.37
310000,44.26,25.79,78.43
312000,45.28,24.92,76.86
314000,43.34,25.52,77.94
316000,42.39,24.47,76.05
318000,44.81,24.67,76.4
320000,44.69,25.41,77.74
322000,44.18,24.88,76.78
324000,46.83,25.35,77.63
326000,45.2,25.0,77.01
328000,45.46,24.48,76.06
330000,43.96,24.65,76.37
332000,44.49,25.13,77.24
334000,43.97,24.48,76.07
336000,47.25,25.08,77.15
338000,45.14,24.78,76.61
340000,44.81,24.91,76.84
342000,45.53,24.39,75.91
344000,46.19,25.34,77.62
346000,44.52,25.16,77.28
348000,41.32,25.07,77.13
350000,45.53,24.88,76.78
352000,44.04,25.42,77.75
354000,45.32,25.26,77.47
356000,45.92,24.76,76.58
358000,43.47,25.69,78.25
360000,43.66,25.2,77.35
362000,44.57,24.67,76.41
364000,46.87,23.8,74.84
366000,47.22,24.43,75.98
368000,44.81,24.74,76.53
370000,47.37,24.97,76.94
372000,46.2,24.94,76.9
374000,47.31,25.04,77.08
376000,42.89,25.0,76.99
378000,44.06,26.02,78.84
380000,42.05,24.81,76.67
382000,45.63,24.32,75.78
384000,43.86,24.83,76.69
386000,44.68,25.28,77.51
388000,46.58,25.0,77.01
390000,46.07,25.17,77.3
392000,46.87,24.6,76.28
394000,44.51,24.87,76.77
396000,43.77,25.17,77.31
398000,43.52,24.73,76.51
400000,46.43,24.96,76.92
402000,44.26,25.24,77.43
404000,43.01,24.86,76.75
406000,43.99,25.27,77.48
408000,45.32,25.16,77.29
410000,45.19,24.71,76.48
412000,47.09,24.08,75.35
414000,44.34,25.47,77.85
416000,42.9,25.43,77.77
418000,45.63,24.76,76.56
420000,41.5,24.99,76.99
422000,45.12,25.42,77.76
424000,44.86,25.11,77.2
426000,47.13,24.53,76.16
428000,47.94,24.8,76.64
430000,44.75,25.72,78.29
432000,44.31,25.26,77.47
434000,45.92,25.01,77.03
436000,43.87,25.32,77.57
438000,41.98,25.06,77.1
440000,44.6,25.47,77.85
442000,47.02,25.63,78.14
444000,46.27,25.15,77.27
446000,45.97,25.0,77.01
448000,44.56,24.61,76.3
450000,45.88,24.82,76.68
452000,45.46,24.32,75.77
454000,44.16,25.31,77.57
456000,47.09,25.35,77.63
458000,44.24,24.3,75.75
460000,48.77,25.31,77.55
462000,45.14,25.26,77.46
464000,44.65,26.3,79.34
466000,45.74,24.51,76.12
468000,44.51,25.02,77.03
470000,44.94,24.48,76.07
472000,44.69,25.18,77.33
474000,45.73,25.08,77.15
476000,48.5,25.14,77.26
478000,44.6,24.32,75.77
480000,44.15,25.3,77.54
482000,41.96,24.5,76.1
484000,43.69,25.58,78.05
486000,45.32,25.21,77.37
488000,43.11,24.98,76.97
490000,47.43,25.26,77.47
492000,44.78,24.44,75.99
494000,45.22,24.31,75.76
496000,44.75,25.21,77.38
498000,46.85,25.24,77.44
500000,44.95,24.96,76.92
502000,45.11,25.91,78.65
504000,44.61,25.05,77.08
506000,43.23,25.78,78.4
508000,43.78,25.12,77.21
510000,45.12,25.07,77.13
512000,44.13,24.96,76.93
514000,44.13,25.74,78.33
516000,45.5,24.55,76.2
518000,44.61,25.14,77.25
520000,41.28,25.12,77.21
522000,44.17,25.1,77.18
524000,43.48,24.66,76.38
526000,44.91,24.69,76.45
528000,43.69,24.77,76.59
530000,44.54,24.51,76.11
532000,46.65,24.93,76.88
534000,45.6,23.77,74.79
536000,45.92,24.81,76.65
538000,43.86,24.28,75.7
540000,46.45,24.85,76.73
542000,43.68,25.7,78.26
544000,42.09,25.84,78.52
546000,44.68,24.65,76.37
548000,47.14,25.31,77.56
550000,43.7,26.02,78.84
552000,43.18,24.67,76.41
554000,44.75,24.85,76.73
556000,46.27,25.17,77.3
558000,46.88,25.07,77.12
560000,45.32,25.52,77.93
562000,43.07,25.93,78.67
564000,45.07,25.21,77.38
566000,43.08,25.51,77.91
568000,47.26,25.25,77.44
570000,45.79,26.09,78.97
572000,46.18,25.78,78.4
574000,44.02,24.63,76.34
576000,46.78,24.07,75.33
578000,46.75,26.06,78.9
580000,47.03,24.93,76.87
582000,47.61,25.81,78.46
584000,46.07,24.37,75.87
586000,43.34,24.76,76.57
588000,44.79,25.52,77.94
590000,45.83,25.37,77.66
592000,45.12,25.08,77.14
594000,45.6,24.46,76.03
596000,45.5,25.49,77.88
598000,44.57,25.08,77.14
600000,46.74,24.93,76.87
602000,45.72,25.69,78.24
604000,44.43,24.57,76.23
606000,46.06,24.71,76.48
608000,44.78,25.14,77.26
610000,43.53,25.36,77.65
612000,41.9,24.57,76.22
614000,45.65,25.21,77.37
616000,45.37,24.65,76.38
618000,46.45,25.02,77.04
620000,44.99,24.39,75.91
622000,44.88,25.46,77.83
624000,44.64,25.02,77.04
626000,44.98,25.68,78.22
628000,44.43,24.67,76.41
630000,45.75,26.08,78.95
632000,47.1,24.31,75.75
634000,45.78,25.17,77.31
636000,46.55,24.82,76.68
638000,46.57,24.37,75.86
640000,44.44,25.13,77.24
