Timestamp (ms),Humidity (%),Temperature (°C),Temperature (°F)
0,44.97,25.14,77.25
2000,44.95,25.02,77.04
4000,45.26,24.98,76.96
6000,45.03,25.01,77.02
8000,44.94,24.9,76.82
10000,44.68,24.96,76.93
12000,44.47,25.05,77.09
14000,44.24,25.26,77.47
16000,44.15,25.33,77.59
18000,43.94,25.4,77.72
20000,44.0,25.15,77.27
22000,44.17,25.24,77.43
24000,44.11,25.37,77.67
26000,44.13,25.36,77.65
28000,44.33,25.43,77.77
30000,44.54,25.41,77.74
32000,44.1,25.51,77.92
34000,44.24,25.54,77.97
36000,44.06,25.48,77.86
38000,43.93,25.63,78.13
40000,43.88,25.68,78.22
42000,43.81,25.65,78.17
44000,43.92,25.63,78.13
46000,43.93,25.72,78.3
48000,44.05,25.67,78.21
50000,43.95,25.64,78.15
52000,43.91,25.6,78.08
54000,43.9,25.52,77.94
56000,43.68,25.59,78.06
58000,43.83,25.6,78.08
60000,43.67,25.46,77.83
62000,43.78,25.41,77.74
64000,43.93,25.44,77.79
66000,43.8,25.47,77.85
68000,43.74,25.39,77.7
70000,43.62,25.34,77.61
72000,43.69,25.34,77.61
74000,43.28,25.18,77.32
76000,43.31,25.27,77.49
78000,43.23,25.38,77.68
80000,43.41,25.34,77.61
82000,43.45,25.46,77.83
84000,43.43,25.38,77.68
86000,43.7,25.37,77.67
88000,43.54,25.5,77.9
90000,43.44,25.58,78.04
92000,43.39,25.76,78.37
94000,43.2,25.85,78.53
96000,43.11,25.9,78.62
98000,43.07,25.96,78.73
100000,43.32,25.94,78.69
102000,43.71,25.87,78.57
104000,43.97,25.85,78.53
106000,44.15,25.88,78.58
108000,43.64,25.79,78.42
110000,43.56,25.94,78.69
112000,43.44,26.0,78.8
114000,43.54,26.17,79.11
116000,43.76,25.99,78.78
118000,43.5,26.05,78.89
120000,43.81,26.12,79.02
122000,43.95,26.06,78.91
124000,43.76,26.01,78.82
126000,43.2,26.01,78.82
128000,43.13,26.03,78.85
130000,43.18,26.01,78.82
132000,43.51,26.14,79.05
134000,43.86,26.2,79.16
